cell_sha,alpha,beta,gamma,p_skills,seed,final_reward,status,elapsed_s
f531996d3bde,2.0,0.5,0.0,-10.0,42,-0.6366666392423213,ok,9.254584666050505
f531996d3bde,2.0,0.5,0.0,-10.0,7,-0.7200000283773988,ok,9.274381791998167
f531996d3bde,2.0,0.5,0.0,-10.0,123,-0.9800000141840428,ok,9.980696957965847
f531996d3bde,2.0,0.5,0.0,-10.0,314,-0.939999952330254,ok,9.865688125020824
f531996d3bde,2.0,0.5,0.0,-10.0,271,-0.9800000111572444,ok,8.958358583040535
87f0b9d77c8e,2.0,0.5,0.0,-5.0,42,-0.6366666392423213,ok,9.441794333979487
87f0b9d77c8e,2.0,0.5,0.0,-5.0,7,-0.7200000283773988,ok,9.044951874995604
87f0b9d77c8e,2.0,0.5,0.0,-5.0,123,-0.9800000141840428,ok,10.021658417012077
87f0b9d77c8e,2.0,0.5,0.0,-5.0,314,-0.939999952330254,ok,10.094288165972102
87f0b9d77c8e,2.0,0.5,0.0,-5.0,271,-0.9800000111572444,ok,8.711703417007811
687e3d1df78c,2.0,0.5,0.0,-1.0,42,-0.6366666392423213,ok,8.97041445801733
